index,dose,Si_rm_in_MD,N_rm_in_MD,C_rm_in_MD,F_rm_in_MD,Si_rm_in_byp,N_rm_in_byp,C_rm_in_byp,F_rm_in_byp
1,0.0,0,6,0,0,0,12,0,0
2,0.0,0,0,0,0,0,4,0,0
3,0.0,0,0,1,0,0,4,0,0
4,0.0,0,1,0,0,0,6,0,0
5,0.001,0,2,0,1,0,2,0,0
6,0.001,0,0,0,0,0,2,0,0
7,0.001,0,0,0,0,0,8,0,0
8,0.001,0,3,0,0,0,10,0,0
9,0.001,0,0,0,0,0,4,0,0
10,0.001,0,6,1,0,0,2,0,0
11,0.001,0,2,0,0,0,0,0,0
12,0.001,0,0,0,1,0,4,0,0
13,0.001,0,2,0,0,0,0,0,0
14,0.002,0,0,0,0,0,0,0,0
15,0.002,0,2,0,0,0,4,0,0
16,0.002,3,14,0,0,0,8,0,0
17,0.002,0,1,0,0,0,0,0,0
18,0.002,0,0,0,0,0,0,0,0
19,0.002,0,0,0,0,0,4,0,0
20,0.002,0,0,0,0,0,6,0,0
21,0.002,0,1,0,0,0,0,0,0
22,0.002,0,2,0,0,0,4,0,0
23,0.003,0,2,0,0,0,4,0,0
24,0.003,0,1,0,0,0,2,0,0
25,0.003,0,0,0,0,0,0,0,0
26,0.003,0,2,0,1,0,0,0,0
27,0.003,0,0,0,0,0,4,0,0
28,0.003,0,0,1,0,0,0,0,0
29,0.003,2,4,0,1,0,2,0,0
30,0.003,0,0,0,0,0,0,0,0
31,0.003,0,3,1,2,0,0,0,0
32,0.004,0,0,0,0,0,0,0,0
33,0.004,0,0,0,0,0,6,0,0
34,0.004,0,0,0,0,0,0,0,0
35,0.004,0,6,0,0,0,0,0,0
36,0.004,0,0,0,0,0,0,0,0
37,0.004,0,0,0,1,0,2,0,0
38,0.004,0,1,0,0,0,0,0,0
39,0.004,0,0,0,1,0,0,0,0
40,0.004,1,0,0,0,0,2,0,0
41,0.005,0,0,0,0,0,4,0,0
42,0.005,0,3,1,0,0,2,0,0
43,0.005,0,0,0,1,1,2,0,0
44,0.005,0,0,0,0,0,2,0,0
45,0.005,1,6,0,1,1,9,0,0
46,0.005,0,4,0,0,1,2,0,1
47,0.005,0,4,0,2,0,0,0,0
48,0.005,0,1,0,1,0,0,0,0
49,0.005,1,2,0,0,0,4,0,0
50,0.006,0,0,0,0,0,0,0,0
51,0.006,0,0,0,0,0,0,0,0
52,0.006,0,0,0,1,0,6,0,0
53,0.006,1,2,0,1,0,2,0,0
54,0.006,0,0,0,0,0,0,0,0
55,0.006,0,0,0,0,0,0,0,0
56,0.006,0,0,0,0,0,0,0,0
57,0.006,0,0,0,0,0,2,0,0
58,0.006,0,3,0,0,0,10,0,0
59,0.007,0,0,0,0,0,4,0,0
60,0.007,1,1,0,1,0,8,0,0
61,0.007,1,3,2,2,0,2,0,0
62,0.007,0,0,0,0,0,0,0,0
63,0.007,0,2,0,0,0,0,0,0
64,0.007,1,1,0,0,0,2,0,0
65,0.007,0,0,0,0,0,0,0,0
66,0.007,0,0,0,0,0,0,0,0
67,0.007,0,0,0,1,1,2,0,4
68,0.008,0,0,0,0,0,4,0,0
69,0.008,0,0,0,0,0,6,0,0
70,0.008,0,0,0,0,0,0,0,0
71,0.008,0,0,0,0,0,0,0,0
72,0.008,0,4,1,0,0,6,0,0
73,0.008,0,0,0,0,0,6,0,0
74,0.008,0,0,0,0,0,10,0,0
75,0.008,0,0,0,0,0,0,0,0
76,0.008,1,0,0,0,0,0,0,0
77,0.009,0,1,0,0,0,0,0,0
78,0.009,0,0,0,0,0,2,0,0
79,0.009,1,0,0,2,0,0,0,0
80,0.009,0,3,0,0,0,0,0,0
81,0.009,1,1,0,1,0,0,0,0
82,0.009,1,2,1,0,0,0,0,0
83,0.009,0,0,0,0,0,2,0,0
84,0.009,2,0,0,0,1,4,0,1
85,0.009,0,0,0,0,0,10,0,0
86,0.01,1,2,0,0,1,3,0,1
87,0.01,0,0,0,0,0,4,0,0
88,0.01,0,2,0,1,1,4,0,2
89,0.01,0,0,0,0,0,0,0,0
90,0.01,1,0,0,0,0,4,0,0
91,0.01,1,0,0,1,0,2,0,0
92,0.01,0,0,0,0,0,4,0,0
93,0.01,0,3,1,1,2,0,0,2
94,0.01,1,2,0,0,0,2,0,0
95,0.011,0,0,1,0,1,0,0,2
96,0.011,1,9,0,1,0,0,0,0
97,0.011,0,0,1,0,2,0,0,2
98,0.011,1,2,0,1,2,0,0,5
99,0.011,1,2,0,0,0,4,0,0
100,0.011,2,3,0,1,0,2,0,0
101,0.011,5,0,1,3,4,4,1,5
102,0.011,1,1,0,1,0,3,1,0
103,0.011,1,3,0,3,1,4,2,2
104,0.012,0,2,0,0,0,1,1,0
105,0.012,0,0,0,0,0,2,0,0
106,0.012,3,3,0,1,0,1,1,0
107,0.012,0,0,0,0,1,2,0,4
108,0.012,0,0,0,0,0,0,0,0
109,0.012,0,0,0,0,1,6,0,4
110,0.012,1,0,0,3,0,4,0,0
111,0.012,0,1,0,1,1,9,0,0
112,0.012,0,0,0,0,0,6,0,0
113,0.013,0,1,0,1,0,0,0,0
114,0.013,0,2,1,0,0,2,0,0
115,0.013,3,2,1,4,1,2,0,1
116,0.013,0,0,0,0,0,4,0,0
117,0.013,0,2,0,0,1,4,0,1
118,0.013,1,0,0,2,0,0,0,0
119,0.013,0,2,0,1,0,2,0,0
120,0.013,1,3,0,1,0,6,0,0
121,0.013,1,1,0,0,1,0,0,4
122,0.014,0,3,1,0,4,7,1,3
123,0.014,0,0,0,0,2,0,0,4
124,0.014,0,0,0,0,0,0,0,0
125,0.014,0,0,0,0,0,0,0,0
126,0.014,3,3,0,8,4,1,0,4
127,0.014,5,2,0,1,0,0,0,0
128,0.014,2,1,1,3,0,0,0,0
129,0.014,1,1,0,3,1,2,0,2
130,0.014,0,1,0,1,2,4,0,6
131,0.015,2,1,0,0,0,3,0,0
132,0.015,1,2,0,1,2,2,0,3
133,0.015,0,0,0,0,0,0,0,0
134,0.015,0,0,0,0,0,2,0,0
135,0.015,0,2,0,0,0,6,0,0
136,0.015,1,3,0,0,0,0,0,0
137,0.015,0,0,0,0,0,2,0,0
138,0.015,0,2,1,0,0,2,0,1
139,0.015,0,0,0,0,0,0,0,0
140,0.016,0,0,0,0,0,6,0,0
141,0.016,1,0,0,1,1,1,0,2
142,0.016,0,0,0,0,0,2,0,0
143,0.016,0,2,1,1,1,2,0,2
144,0.016,0,0,0,0,0,0,0,0
145,0.016,1,1,1,1,5,5,1,7
146,0.016,1,3,0,1,0,0,0,0
147,0.016,0,0,0,0,0,0,0,0
148,0.016,0,0,1,0,1,2,0,1
149,0.017,1,2,0,2,1,2,0,2
150,0.017,1,0,0,1,1,4,0,4
151,0.017,0,0,0,0,0,0,0,0
152,0.017,0,1,1,2,0,0,0,0
153,0.017,0,0,0,0,0,4,0,0
154,0.017,0,2,1,2,1,0,0,1
155,0.017,0,1,0,0,0,0,0,0
156,0.017,1,6,1,3,0,2,0,0
157,0.017,2,3,1,3,0,0,0,0
158,0.018,1,0,0,1,0,2,0,0
159,0.018,1,0,0,1,0,4,0,0
160,0.018,1,3,0,1,0,4,0,1
161,0.018,1,0,0,1,1,5,1,1
162,0.018,1,3,3,0,0,2,0,0
163,0.018,0,0,0,0,0,0,0,0
164,0.018,0,1,0,1,3,4,0,6
165,0.018,0,2,1,0,0,0,0,0
166,0.018,0,0,0,0,0,0,0,0
167,0.019,0,0,0,0,0,0,0,0
168,0.019,0,0,0,0,0,0,0,0
169,0.019,0,0,0,1,0,4,0,0
170,0.019,0,3,2,3,1,0,0,2
171,0.019,0,0,0,1,0,0,0,1
172,0.019,1,6,1,1,2,1,1,3
173,0.019,0,2,0,2,2,3,1,3
174,0.019,0,2,0,0,2,0,0,3
175,0.019,0,0,0,0,0,0,0,0
176,0.02,0,1,0,1,5,6,0,4
177,0.02,0,0,0,0,0,6,0,0
178,0.02,2,2,2,2,1,0,0,2
179,0.02,0,0,0,0,0,0,0,0
180,0.02,0,0,0,0,0,0,0,0
181,0.02,1,2,0,0,2,0,0,4
182,0.02,0,0,0,0,1,0,0,3
183,0.02,1,3,1,3,0,0,0,0
184,0.02,0,3,0,1,1,2,0,1
185,0.021,0,0,0,0,0,0,0,0
186,0.021,0,0,0,1,0,2,0,0
187,0.021,0,0,0,0,0,3,0,0
188,0.021,2,0,0,1,0,2,0,0
189,0.021,0,0,0,0,0,4,0,0
190,0.021,1,0,0,0,1,2,0,2
191,0.021,0,1,1,0,0,2,0,0
192,0.021,0,0,0,0,0,0,0,0
193,0.021,1,1,0,0,0,4,0,0
194,0.022,0,2,0,3,2,0,0,4
195,0.022,2,3,1,1,2,1,0,0
196,0.022,0,0,0,0,0,0,0,0
197,0.022,0,0,0,0,0,2,0,0
198,0.022,0,0,0,0,1,0,0,4
199,0.022,0,2,1,0,0,0,0,0
200,0.022,0,0,0,0,0,6,0,0
201,0.022,0,0,0,0,0,0,0,0
202,0.022,2,1,0,2,0,4,0,0
203,0.023,0,0,0,1,0,2,0,0
204,0.023,0,0,1,0,2,4,0,6
205,0.023,0,4,1,2,1,2,0,1
206,0.023,2,0,0,3,1,0,0,2
207,0.023,1,1,0,3,1,0,0,2
208,0.023,2,0,0,1,0,0,0,0
209,0.023,4,0,0,3,0,0,0,0
210,0.023,0,0,0,0,0,4,0,0
211,0.023,0,0,0,0,0,4,0,0
212,0.024,0,0,0,0,0,0,0,0
213,0.024,1,3,1,1,0,2,0,0
214,0.024,2,3,2,3,2,4,0,6
215,0.024,1,0,0,0,0,0,0,0
216,0.024,4,2,1,2,1,4,0,0
217,0.024,0,0,0,0,1,2,0,4
218,0.024,0,0,1,1,0,2,0,0
219,0.024,0,1,0,0,1,0,0,2
220,0.024,2,2,2,2,2,2,0,8
221,0.025,0,1,0,1,1,0,0,4
222,0.025,0,0,0,1,1,0,0,1
223,0.025,0,0,1,0,0,2,0,0
224,0.025,2,0,1,2,1,0,0,2
225,0.025,2,3,2,0,1,0,0,4
226,0.025,1,3,1,0,1,0,0,2
227,0.025,0,0,0,0,0,0,0,0
228,0.025,1,2,0,1,1,0,0,2
229,0.025,1,1,0,1,0,0,0,0
230,0.026,1,1,0,0,1,0,0,4
231,0.026,0,1,1,0,2,6,2,8
232,0.026,0,0,0,0,0,0,0,0
233,0.026,0,0,0,0,1,2,0,4
234,0.026,0,1,0,0,1,4,0,4
235,0.026,1,4,3,1,2,2,2,4
236,0.026,0,0,0,0,1,4,0,4
237,0.026,0,1,1,2,0,4,0,0
238,0.026,0,1,1,0,1,3,1,2
239,0.027,3,4,1,4,1,1,1,0
240,0.027,0,0,0,0,0,2,0,0
241,0.027,0,4,0,1,2,0,0,4
242,0.027,1,0,1,0,2,0,0,4
243,0.027,1,2,0,2,0,4,0,0
244,0.027,1,1,1,2,3,0,0,9
245,0.027,3,3,1,2,0,1,1,0
246,0.027,1,0,0,0,1,2,0,1
247,0.027,0,4,0,1,0,4,0,0
248,0.028,0,0,0,1,1,4,0,2
249,0.028,0,0,0,0,2,0,0,8
250,0.028,0,0,0,0,0,0,0,0
251,0.028,0,2,1,1,0,0,0,0
252,0.028,1,0,1,1,0,2,0,0
253,0.028,0,0,0,0,0,0,0,0
254,0.028,1,2,2,2,4,5,1,4
255,0.028,0,2,0,0,2,0,0,5
256,0.028,0,2,1,1,1,4,0,4
257,0.029,0,0,0,0,0,0,0,0
258,0.029,1,1,0,3,5,0,0,12
259,0.029,2,2,0,2,1,2,0,4
260,0.029,0,0,0,0,1,2,0,4
261,0.029,0,2,0,0,0,2,0,0
262,0.029,0,0,0,0,0,0,0,0
263,0.029,1,0,0,1,1,1,1,4
264,0.029,0,0,1,2,2,2,0,7
265,0.029,2,0,0,0,2,0,0,8
266,0.03,0,0,0,0,1,2,0,2
267,0.03,1,1,0,3,0,0,0,0
268,0.03,2,3,1,3,1,0,0,2
269,0.03,1,1,4,0,1,0,0,4
270,0.03,1,2,1,0,1,0,0,2
271,0.03,0,0,1,0,1,4,0,2
272,0.03,0,0,0,0,1,0,0,3
273,0.03,0,1,0,0,1,1,0,1
274,0.03,0,0,0,0,1,4,0,4
275,0.031,2,0,1,0,1,2,0,0
276,0.031,0,0,0,1,1,0,0,1
277,0.031,1,0,0,1,1,2,0,1
278,0.031,0,0,0,0,0,2,0,0
279,0.031,0,0,0,0,0,4,0,0
280,0.031,0,0,0,0,0,4,0,0
281,0.031,0,0,0,0,0,0,0,0
282,0.031,0,1,0,0,0,0,0,0
283,0.031,0,0,0,0,0,2,0,0
284,0.032,3,7,1,1,4,0,0,9
285,0.032,0,1,0,0,1,4,0,4
286,0.032,0,0,0,0,0,2,0,0
287,0.032,1,1,0,1,1,0,0,2
288,0.032,2,0,0,0,1,2,0,4
289,0.032,1,1,0,3,1,2,0,4
290,0.032,2,4,2,1,2,4,0,2
291,0.032,0,0,0,0,0,0,0,0
292,0.032,1,0,0,0,1,3,1,3
293,0.033,2,4,0,3,5,6,2,7
294,0.033,1,4,1,1,1,1,0,2
295,0.033,1,2,0,1,0,0,0,0
296,0.033,2,2,2,1,2,7,0,3
297,0.033,0,0,0,0,0,0,0,0
298,0.033,0,0,0,0,3,4,1,1
299,0.033,0,0,2,0,2,0,0,4
300,0.033,0,0,0,0,0,4,0,0
301,0.033,0,2,0,1,0,0,0,0
302,0.034,0,0,0,0,0,0,0,0
303,0.034,0,0,0,0,2,4,0,1
304,0.034,2,4,1,4,2,2,0,7
305,0.034,3,0,0,2,0,2,0,0
306,0.034,1,0,1,0,1,0,0,4
307,0.034,2,1,0,3,5,1,0,5
308,0.034,0,2,1,0,0,2,0,0
309,0.034,0,0,0,0,0,0,0,0
310,0.034,0,1,2,0,1,2,0,4
311,0.035,0,0,0,1,0,8,0,0
312,0.035,1,2,0,1,2,4,0,3
313,0.035,0,0,0,1,1,2,0,5
314,0.035,0,1,0,1,2,2,0,3
315,0.035,1,0,0,1,0,2,0,0
316,0.035,0,2,1,0,4,1,0,8
317,0.035,0,2,1,0,0,0,0,0
318,0.035,0,0,0,0,0,2,0,0
319,0.035,0,0,0,0,0,4,0,0
320,0.036,0,0,0,0,3,0,0,5
321,0.036,0,0,1,0,1,1,1,4
322,0.036,0,0,0,0,0,4,0,0
323,0.036,0,0,0,0,0,4,0,0
324,0.036,1,0,0,0,0,2,0,0
325,0.036,1,3,1,1,0,2,0,0
326,0.036,3,1,1,3,5,8,3,10
327,0.036,0,0,0,0,1,0,0,2
328,0.036,0,0,0,0,1,2,0,4
329,0.037,0,0,0,0,2,0,0,5
330,0.037,1,0,0,2,0,2,0,0
331,0.037,0,0,0,0,0,0,0,0
332,0.037,0,0,0,0,0,0,0,0
333,0.037,1,0,0,0,0,0,0,0
334,0.037,0,0,0,0,0,6,0,0
335,0.037,0,0,0,0,0,0,0,0
336,0.037,1,0,0,0,0,0,0,0
337,0.037,0,0,0,0,1,0,0,4
338,0.038,0,0,0,0,1,0,0,4
339,0.038,0,3,0,0,1,4,0,1
340,0.038,0,1,0,0,2,2,0,6
341,0.038,0,2,0,0,0,2,1,0
342,0.038,1,0,1,3,1,0,0,2
343,0.038,2,0,0,2,3,1,1,8
344,0.038,0,0,0,0,0,1,1,0
345,0.038,4,2,0,2,2,3,1,4
346,0.038,1,1,0,0,1,0,0,4
347,0.039,1,1,1,1,0,4,0,0
348,0.039,1,1,1,0,1,0,0,2
349,0.039,0,1,0,0,2,0,0,6
350,0.039,0,2,1,0,3,4,1,2
351,0.039,0,2,0,1,0,2,0,0
352,0.039,1,0,0,1,0,2,0,0
353,0.039,3,2,1,3,2,2,0,6
354,0.039,0,0,1,0,1,3,1,1
355,0.039,2,0,0,2,0,0,0,0
356,0.04,0,0,0,1,0,4,0,0
357,0.04,0,0,0,0,2,3,1,4
358,0.04,0,0,0,0,2,2,0,5
359,0.04,1,1,3,1,0,2,0,0
360,0.04,3,7,3,1,2,0,0,3
361,0.04,1,0,0,1,2,4,0,4
362,0.04,0,1,0,0,2,0,0,5
363,0.04,1,0,0,2,0,2,0,1
364,0.04,0,2,0,0,0,2,0,0
365,0.041,0,0,1,3,1,4,0,4
366,0.041,0,0,0,0,0,0,0,0
367,0.041,0,0,0,0,1,4,0,2
368,0.041,0,0,0,0,1,0,0,4
369,0.041,0,0,1,1,3,2,0,10
370,0.041,0,0,0,0,1,2,0,2
371,0.041,3,1,0,2,0,3,1,0
372,0.041,0,3,0,1,1,4,0,4
373,0.041,0,0,0,0,0,0,0,0
374,0.042,0,0,0,1,0,0,0,0
375,0.042,0,2,3,0,2,0,0,2
376,0.042,0,0,0,0,1,1,1,2
377,0.042,1,0,1,0,1,2,0,1
378,0.042,0,0,0,0,1,2,0,3
379,0.042,0,2,0,1,1,5,1,2
380,0.042,0,2,2,3,2,3,1,1
381,0.042,0,0,0,0,0,0,0,0
382,0.042,1,1,0,0,0,2,0,0
383,0.043,0,0,0,1,2,0,0,4
384,0.043,0,0,0,0,1,2,0,4
385,0.043,0,0,0,0,1,0,0,1
386,0.043,0,0,0,1,0,2,0,0
387,0.043,0,0,0,0,2,2,0,8
388,0.043,0,0,0,0,0,0,0,0
389,0.043,2,2,0,2,1,0,0,1
390,0.043,0,0,0,0,2,2,0,5
391,0.043,0,1,2,0,0,8,0,0
392,0.044,3,6,1,4,3,0,0,3
393,0.044,1,0,0,0,2,4,0,7
394,0.044,0,0,0,0,3,0,0,6
395,0.044,0,0,0,0,0,0,0,0
396,0.044,3,0,0,2,0,0,0,0
397,0.044,0,0,0,1,0,0,0,0
398,0.044,0,0,0,0,1,1,1,4
399,0.044,1,1,0,1,0,2,0,0
400,0.044,0,0,0,0,2,0,0,8
401,0.045,1,0,1,1,1,0,0,2
402,0.045,0,0,0,0,0,2,0,0
403,0.045,0,0,0,0,0,0,0,0
404,0.045,1,0,1,1,0,2,0,0
405,0.045,0,1,0,2,4,5,0,8
406,0.045,1,0,0,2,2,2,0,8
407,0.045,0,0,0,0,0,2,0,0
408,0.045,0,0,1,0,2,6,0,6
409,0.045,0,0,0,0,3,0,0,7
410,0.046,0,0,0,1,0,0,0,0
411,0.046,0,0,0,0,0,3,1,0
412,0.046,0,0,1,0,1,0,0,2
413,0.046,0,1,1,1,0,0,0,0
414,0.046,1,2,0,0,0,0,0,0
415,0.046,0,0,0,0,0,2,0,0
416,0.046,0,0,0,0,1,0,0,4
417,0.046,0,0,0,0,0,2,0,0
418,0.046,0,0,0,0,0,2,0,0
419,0.047,0,0,0,0,0,0,0,0
420,0.047,0,0,0,0,1,0,0,2
421,0.047,0,0,0,0,1,2,0,4
422,0.047,1,2,0,0,0,0,0,0
423,0.047,1,0,0,0,1,0,0,2
424,0.047,1,2,0,0,0,2,0,0
425,0.047,0,0,0,0,0,0,0,0
426,0.047,1,2,1,1,2,0,0,7
427,0.047,2,0,0,1,0,2,0,0
428,0.048,0,0,0,0,1,0,0,4
429,0.048,0,0,0,0,0,4,0,0
430,0.048,0,3,1,0,0,0,0,0
431,0.048,1,1,0,1,0,2,0,0
432,0.048,0,0,0,0,1,2,0,4
433,0.048,1,3,2,1,1,0,0,3
434,0.048,2,9,1,0,1,2,2,1
435,0.048,1,0,0,1,2,0,0,8
436,0.048,0,0,0,1,0,2,0,0
437,0.049,1,0,0,2,1,0,0,2
438,0.049,0,2,0,0,1,2,0,1
439,0.049,1,1,0,0,0,2,0,0
440,0.049,0,0,0,0,1,2,0,2
441,0.049,0,0,0,0,0,4,0,0
442,0.049,0,0,0,0,1,0,0,4
443,0.049,1,0,0,1,1,0,0,1
444,0.049,1,0,1,1,0,3,1,0
445,0.049,0,0,0,1,0,2,0,0
446,0.05,0,0,0,0,0,0,0,0
447,0.05,0,0,0,0,0,4,0,0
448,0.05,0,2,1,0,0,0,0,0
449,0.05,0,1,0,0,0,0,0,0
450,0.05,2,0,0,3,2,2,2,3
451,0.05,0,0,0,0,0,0,0,0
452,0.05,0,2,0,0,1,2,0,4
453,0.05,0,1,0,0,0,4,0,0
454,0.05,0,0,0,1,0,2,0,0
455,0.051,0,0,0,0,0,0,0,0
456,0.051,1,2,1,1,2,0,0,1
457,0.051,2,2,0,4,3,5,0,5
458,0.051,0,1,0,1,0,2,0,0
459,0.051,0,2,0,0,4,2,0,8
460,0.051,1,0,0,3,0,4,0,0
461,0.051,1,1,0,1,2,2,0,4
462,0.051,0,0,0,0,1,0,0,4
463,0.051,1,0,0,0,0,1,1,0
464,0.052,0,0,0,0,0,0,0,0
465,0.052,0,0,0,1,0,2,0,0
466,0.052,1,0,0,2,2,2,0,8
467,0.052,0,2,1,0,2,2,0,3
468,0.052,1,0,0,1,0,2,0,0
469,0.052,0,1,3,1,1,4,0,1
470,0.052,0,1,0,0,1,0,0,1
471,0.052,0,0,0,0,0,4,0,0
472,0.052,0,0,0,1,0,0,0,0
473,0.053,4,0,0,6,2,4,1,5
474,0.053,1,1,1,1,1,2,0,4
475,0.053,1,3,1,1,4,2,2,3
476,0.053,2,0,1,0,2,2,0,3
477,0.053,0,1,0,1,1,0,0,4
478,0.053,0,0,0,0,0,2,0,0
479,0.053,0,1,1,0,1,0,0,2
480,0.053,1,0,0,0,3,1,0,4
481,0.053,3,1,3,5,2,1,1,6
482,0.054,0,0,0,0,0,2,0,0
483,0.054,0,0,0,1,1,2,0,4
484,0.054,0,0,0,0,1,0,0,1
485,0.054,0,0,0,1,0,2,0,0
486,0.054,0,0,0,1,3,2,0,8
487,0.054,0,0,0,0,2,0,0,6
488,0.054,0,0,0,0,0,0,0,0
489,0.054,2,1,0,2,2,2,0,5
490,0.054,0,1,1,1,0,0,1,2
491,0.055,0,2,1,2,1,4,0,1
492,0.055,0,0,0,0,0,0,0,0
493,0.055,1,0,0,0,0,2,0,0
494,0.055,3,1,0,2,1,0,0,1
495,0.055,0,0,0,0,0,2,0,0
496,0.055,0,0,0,0,0,0,0,0
497,0.055,5,3,1,0,3,0,0,9
498,0.055,0,2,1,0,0,0,0,0
499,0.055,1,1,2,2,1,0,0,2
500,0.056,0,2,0,0,2,2,0,8
501,0.056,0,0,0,0,1,0,0,1
502,0.056,2,1,1,1,0,0,0,0
503,0.056,0,0,0,0,3,1,1,9
504,0.056,0,0,0,2,2,4,0,4
505,0.056,0,0,0,0,3,3,0,2
506,0.056,0,1,1,1,5,1,1,10
507,0.056,0,0,0,0,1,0,0,1
508,0.056,1,1,1,0,2,0,0,4
509,0.057,0,1,1,0,2,0,0,6
510,0.057,0,0,0,0,0,0,0,0
511,0.057,0,0,0,1,0,0,0,0
512,0.057,0,1,1,0,1,0,0,4
513,0.057,1,2,1,0,2,2,0,3
514,0.057,0,0,0,2,0,0,0,0
515,0.057,0,0,0,0,0,2,0,0
516,0.057,1,0,0,2,0,8,0,0
517,0.057,0,0,0,0,0,6,0,0
518,0.058,0,0,0,0,0,2,0,0
519,0.058,0,1,0,0,0,0,0,0
520,0.058,2,2,2,4,5,2,2,14
521,0.058,0,0,0,0,1,0,0,4
522,0.058,1,0,1,1,1,1,1,2
523,0.058,0,0,0,0,1,0,0,2
524,0.058,0,2,1,1,0,0,1,0
525,0.058,1,3,2,0,4,2,0,6
526,0.058,0,0,0,0,1,4,0,4
527,0.059,0,0,0,0,0,2,0,0
528,0.059,0,0,0,1,0,0,0,0
529,0.059,0,1,0,0,1,0,0,2
530,0.059,1,0,1,2,1,0,0,4
531,0.059,0,0,0,0,2,2,1,3
532,0.059,1,2,2,1,4,0,0,10
533,0.059,1,0,0,2,0,0,0,0
534,0.059,0,0,1,0,0,4,0,0
535,0.059,0,0,0,0,1,1,0,0
536,0.06,0,0,0,1,1,6,0,4
537,0.06,1,4,3,0,0,3,1,0
538,0.06,0,1,0,0,1,2,0,1
539,0.06,1,1,1,0,1,0,0,4
540,0.06,0,3,1,0,3,4,0,7
541,0.06,0,0,0,0,1,2,0,4
542,0.06,0,0,0,0,1,8,0,4
543,0.06,0,0,0,0,0,2,0,0
544,0.06,0,0,0,0,3,2,0,9
545,0.061,0,1,0,0,1,0,0,4
546,0.061,0,0,1,0,0,0,0,0
547,0.061,1,1,0,0,0,2,0,0
548,0.061,1,0,0,1,0,0,0,0
549,0.061,0,0,0,0,0,0,0,0
550,0.061,0,0,0,0,0,2,0,0
551,0.061,0,0,0,0,1,4,0,4
552,0.061,0,1,0,0,1,4,0,4
553,0.061,0,1,1,0,0,0,0,0
554,0.062,2,0,0,1,0,0,0,0
555,0.062,0,0,0,0,0,2,0,0
556,0.062,0,1,0,0,0,0,0,0
557,0.062,0,0,0,1,1,0,0,4
558,0.062,0,0,0,0,0,6,0,0
559,0.062,0,0,0,0,1,2,0,2
560,0.062,0,1,0,0,0,2,0,0
561,0.062,0,0,0,0,0,0,0,0
562,0.062,0,0,0,0,0,4,0,0
563,0.063,0,1,1,0,0,2,0,0
564,0.063,0,2,1,0,0,0,0,0
565,0.063,0,0,0,0,0,8,0,0
566,0.063,0,1,0,1,0,0,0,0
567,0.063,0,0,0,0,0,2,0,0
568,0.063,1,0,0,1,0,0,0,1
569,0.063,0,0,0,0,2,4,0,6
570,0.063,0,0,0,0,2,0,0,8
571,0.063,0,0,0,0,1,2,0,4
572,0.064,0,2,1,0,0,4,0,0
573,0.064,1,0,1,1,1,2,0,4
574,0.064,0,1,1,2,2,2,0,7
575,0.064,0,0,0,0,1,0,0,4
576,0.064,0,0,1,0,0,2,0,0
577,0.064,0,1,2,0,0,2,0,0
578,0.064,0,0,0,0,0,0,0,0
579,0.064,0,0,0,0,0,0,0,0
580,0.064,0,0,0,1,1,0,0,4
581,0.065,1,0,0,0,1,2,0,4
582,0.065,0,0,0,1,0,0,0,0
583,0.065,1,2,1,2,2,0,0,3
584,0.065,0,1,0,1,1,3,1,4
585,0.065,0,0,0,0,0,0,0,0
586,0.065,0,0,0,0,2,0,0,3
587,0.065,4,1,1,3,0,8,0,0
588,0.065,0,0,0,1,3,2,0,7
589,0.065,0,0,0,1,1,2,0,4
590,0.066,0,0,0,0,1,0,0,1
591,0.066,2,0,0,2,0,2,0,1
592,0.066,0,2,1,0,0,0,0,0
593,0.066,1,1,1,1,0,0,0,0
594,0.066,1,0,0,1,3,2,0,8
595,0.066,0,0,0,0,2,4,0,6
596,0.066,2,2,0,2,0,0,0,0
597,0.066,0,0,0,0,1,4,0,4
598,0.066,0,0,0,0,4,7,1,5
599,0.067,0,0,0,1,2,3,1,5
600,0.067,0,0,0,0,1,2,0,4
601,0.067,0,0,1,0,0,0,0,0
602,0.067,0,0,0,1,1,2,0,2
603,0.067,0,0,0,0,0,0,0,0
604,0.067,0,0,0,0,1,0,0,2
605,0.067,0,0,0,0,3,1,0,4
606,0.067,0,0,0,0,3,2,0,5
607,0.067,0,1,2,1,0,0,0,0
608,0.068,0,0,1,0,0,2,0,0
609,0.068,0,2,1,0,1,0,0,4
610,0.068,0,0,0,0,2,0,0,8
611,0.068,0,0,0,2,1,0,0,4
612,0.068,0,0,0,0,1,2,0,2
613,0.068,1,1,2,1,1,0,0,4
614,0.068,0,2,0,0,0,0,0,0
615,0.068,0,2,0,0,0,2,0,0
616,0.068,0,3,1,0,0,2,0,0
617,0.069,0,0,0,0,2,0,0,6
618,0.069,1,1,1,2,0,0,0,0
619,0.069,1,1,1,1,1,0,0,4
620,0.069,1,0,0,0,2,0,0,2
621,0.069,0,0,2,0,2,0,0,5
622,0.069,0,0,0,0,1,0,0,2
623,0.069,0,0,0,0,1,2,0,4
624,0.069,0,0,0,0,2,0,0,8
625,0.069,2,0,0,3,0,2,0,0
626,0.07,0,1,2,0,0,2,0,0
627,0.07,0,1,0,0,2,0,0,4
628,0.07,0,0,0,1,1,0,0,1
629,0.07,0,1,0,0,1,0,1,2
630,0.07,0,1,1,0,0,0,0,0
631,0.07,1,0,0,0,0,2,0,0
632,0.07,0,1,0,0,1,0,0,4
